Guid,SBQQ__LookupField__c,SBQQ__MatchType__c,SBQQ__Operator__c,SBQQ__PriceRule2__c,SBQQ__TestedField__c,SBQQ__TestedObject__c,SBQQ__TestedValue__c
4742d7ab-1d08-4878-b8ab-3a7ec8456b7a,Product__c,Field Value,equals,9e8ca652-9a62-4654-9f2d-126405762e42,SBQQ__Product__c,Quote Line,#N/A
94da0404-5996-4899-b2b5-42eafb0362c8,Product__c,Field Value,equals,7811280d-8d7a-4bd1-b337-c00e5455413c,SBQQ__Product__c,Quote Line,#N/A
aeadd818-3cea-4c75-a110-e582ee8c254c,Approval_Level__c,Static Value,equals,7811280d-8d7a-4bd1-b337-c00e5455413c,#N/A,#N/A,3
30fc1f2d-48d6-402b-a05c-4c06e76445c1,Product__c,Field Value,equals,76f8a2c4-c753-4ebd-8883-05ef4b350719,SBQQ__Product__c,Quote Line,#N/A
545022d4-ae13-414e-ae83-5374dda910a8,SBQQ__Category__c,Static Value,equals,65064fee-fd25-4e3c-847f-6a312f52ee5d,#N/A,#N/A,123
19c49caa-02af-4ef8-9e1b-8fce42ea6125,Resource_Location__c,Field Value,equals,dd3f643b-dd10-4efb-abdc-1df300ff3fec,Resource_Location__c,Quote Line,#N/A
94658fc7-2528-4114-b50f-c1f380ff7175,Approval_Level__c,Static Value,equals,c549c1e3-ed11-4226-aa87-ffded7a54ec1,#N/A,#N/A,2
ceee32fe-c615-4847-8ddd-4e05d11eedcb,Lower_Bound_Percent__c,Field Value,greater or equals,9e07b6d4-4ad1-4627-b636-3f0fbbf1a0d3,Discretionary_Discount_Decimal__c,Quote Line,#N/A
9ea5dc57-c664-4539-bd5e-62b9e7e1857c,Upper_Bound_Percent__c,Field Value,less than,b3ec275d-1159-4919-9473-a17ecb840af2,Discretionary_Discount_Decimal__c,Quote Line,#N/A
9f52d066-fd49-457f-9ae4-ff5f980686fe,Engineering_Options__c,Field Value,equals,dd3f643b-dd10-4efb-abdc-1df300ff3fec,Engineering_Options__c,Quote Line,#N/A
